"Y","A","L","S","C"
NA,0,0.590013547987339,1,1
NA,1,1.43242192773099,1,1
0.529675830954393,0,-0.992692511109493,1,0
NA,NA,0.454650297580283,0,0
NA,NA,0.0848980586784873,0,0
NA,NA,0.895565582264545,0,0
NA,NA,-0.229778138946267,0,0
NA,1,0.836619068460613,1,1
NA,NA,-1.74505586133669,0,0
9.33530632990812,1,1.68945892131337,1,0
NA,1,0.864777978518578,1,1
NA,NA,-0.150775988885748,0,0
NA,NA,-1.44900713013917,0,0
NA,1,0.643008700041982,1,1
NA,NA,0.483193863814768,0,0
NA,NA,-0.00635562642138871,0,0
1.79872260656356,0,0.151455892862424,1,0
NA,NA,-0.584108970349804,0,0
4.2923408411687,0,0.368806732630242,1,0
NA,NA,0.294654339719516,0,0
NA,NA,-0.279259373342575,0,0
NA,NA,-1.33623665489315,0,0
8.4120458676286,1,0.700748818440034,1,0
NA,NA,0.554196622274034,0,0
NA,1,-0.836306592801415,1,1
NA,NA,-1.59458816200624,0,0
NA,NA,0.204958580587634,0,0
4.47716582570902,1,-0.34508797797289,1,0
NA,0,0.252611703364455,1,1
NA,NA,-1.29400246548455,0,0
NA,NA,-0.959170444380363,0,0
2.8920591668032,0,1.0857748536799,1,0
7.58021453464198,1,0.403774904715714,1,0
7.78995536677916,1,0.586487536719298,1,0
5.59558716549724,0,1.81522844615395,1,0
NA,NA,0.128821428602383,0,0
NA,NA,-2.00092923773151,0,0
NA,NA,0.33377719743357,0,0
NA,NA,1.17132512735879,0,0
9.65029951447355,1,2.0595392422993,1,0
NA,NA,-1.37686159824052,0,0
NA,NA,-1.15085556562711,0,0
NA,NA,-0.705821394760121,0,0
NA,NA,-1.05405578207719,0,0
NA,NA,-0.645743723142491,0,0
NA,NA,-0.185377967676503,0,0
NA,NA,-1.20122205073999,0,0
9.28596159525894,1,2.03697216698315,1,0
NA,NA,0.107774744885547,0,0
NA,NA,-0.0841081005055806,0,0
NA,1,0.495619641604594,1,1
NA,NA,0.0374151861179653,0,0
NA,NA,-0.13208803695591,0,0
NA,NA,1.4767874235521,0,0
5.75555653228477,1,-0.217030210092103,1,0
NA,NA,-1.28360220409223,0,0
NA,NA,0.385667890443402,0,0
NA,NA,-0.351512873529092,0,0
NA,NA,-0.521796093356269,0,0
NA,1,-1.06813120068717,1,1
NA,NA,0.428365903266692,0,0
0.635524127231369,0,-0.174018234426995,1,0
NA,NA,0.515667728648029,0,0
0.225966768972071,0,-0.234365277305921,1,0
NA,NA,-0.658503425821771,0,0
NA,1,1.25023660407872,1,1
NA,NA,-0.271763715111397,0,0
NA,NA,0.947951995875196,0,0
NA,NA,-1.20158243010894,0,0
NA,NA,-0.466116096375502,0,0
NA,NA,-0.26935139515318,0,0
NA,NA,-0.390965408130861,0,0
NA,NA,1.34870701199171,0,0
6.5962265754317,1,-0.0227647012984126,1,0
7.13300024406296,1,0.24422585110345,1,0
2.92987852940043,1,-0.942371707863923,1,0
NA,NA,-0.729217276509575,0,0
NA,1,0.998068908554848,1,1
NA,NA,1.25848166459556,0,0
NA,NA,1.2488636888101,0,0
NA,NA,-1.38063704952533,0,0
7.0953820019714,0,2.04996069363639,1,0
NA,NA,1.01687282979954,0,0
NA,NA,-0.0267174641382579,0,0
NA,NA,0.70360777879826,0,0
NA,NA,-0.971385229151864,0,0
NA,NA,-1.09615624155886,0,0
NA,NA,0.0490504509375971,0,0
NA,1,-1.19849585655778,1,1
3.03904106955608,0,0.190018998559748,1,0
NA,1,1.29770589960467,1,1
NA,NA,-1.03387372296475,0,0
NA,NA,-0.738440754213064,0,0
NA,NA,0.0465639394508634,0,0
NA,NA,-1.01759611982611,0,0
NA,NA,-0.383283959886278,0,0
7.27800262131082,1,0.872755411671398,1,0
8.63856969491597,1,0.969545013970117,1,0
6.11362515896343,1,0.383846665027094,1,0
NA,NA,-1.85155566306746,0,0
NA,NA,-0.0539967368261657,0,0
NA,1,1.06477321433828,1,1
NA,NA,0.813195037411605,0,0
NA,NA,-0.190816474104282,0,0
NA,NA,-2.6999298085637,0,0
NA,NA,0.0609666388011166,0,0
NA,1,0.573751697483578,1,1
NA,1,0.0458035797250989,1,1
NA,0,0.157412540175875,1,1
5.62671846934655,1,0.431565372868771,1,0
NA,NA,-0.396549736050212,0,0
9.68427806231609,1,1.30997822575155,1,0
NA,NA,0.470393399873943,0,0
NA,NA,-1.2426702705746,0,0
9.06587262877919,1,1.38157545638553,1,0
7.43724965648431,1,1.20445893700982,1,0
7.08846194247506,1,0.824073963681881,1,0
1.62461561781571,1,-1.66262940218559,1,0
NA,NA,-0.569306343605481,0,0
NA,1,0.635513817289526,1,1
1.33602091338661,0,0.0437220075778579,1,0
NA,NA,0.348012303661307,0,0
NA,NA,2.45959354887041,0,0
0.111098327034919,0,-0.81838032439967,1,0
NA,NA,-2.11320011492914,0,0
NA,1,0.273695272430415,1,1
NA,NA,-0.687596841243412,0,0
NA,NA,0.446041052961866,0,0
NA,1,-0.812384723790597,1,1
NA,1,2.21205548033514,1,1
NA,NA,-0.12370597157743,0,0
NA,NA,-0.477335506030052,0,0
NA,NA,-0.166261491486608,0,0
NA,NA,0.862563383626431,0,0
NA,NA,0.0973404852028189,0,0
NA,NA,-1.62561673921129,0,0
NA,NA,-0.0046207678264578,0,0
NA,NA,0.760242167662055,0,0
NA,NA,0.0389909128725626,0,0
NA,NA,0.735072141614441,0,0
NA,NA,-0.14647262699887,0,0
1.65375546634484,0,-0.0578873353812826,1,0
NA,NA,0.482369466104533,0,0
3.30492816441977,0,0.992943636775734,1,0
NA,NA,-1.24639549803204,0,0
NA,NA,-0.0334875248456097,0,0
NA,NA,-0.0709621812499963,0,0
NA,NA,-0.75892065373095,0,0
NA,NA,-1.03435936093915,0,0
NA,NA,-0.63073195397082,0,0
NA,NA,0.586807720012995,0,0
0.730891780574876,0,-0.416322656183652,1,0
NA,NA,-0.78488780950532,0,0
2.09609485188306,0,0.163416319486097,1,0
NA,NA,-1.23671423510935,0,0
NA,NA,1.04587377623667,0,0
NA,NA,-0.484595416218709,0,0
0.31969589845486,0,0.189128811680665,1,0
NA,NA,0.0510063315749732,0,0
7.34111033985804,1,-0.000240668886441977,1,0
NA,0,1.80938204244287,1,1
NA,NA,-0.825327957109945,0,0
6.7927394392209,1,1.14547045222799,1,0
1.4088783658957,0,0.0315731875532431,1,0
2.63013677182819,1,-0.83520580530672,1,0
5.77925033215497,1,-0.0687636490165125,1,0
6.11007951942687,1,0.746771687012467,1,0
NA,NA,-0.425518734394604,0,0
NA,NA,-0.772082235193457,0,0
NA,NA,0.152764106747895,0,0
2.38930891486216,0,0.988596845178799,1,0
NA,NA,-0.073458334672174,0,0
NA,NA,-1.38702655355974,0,0
NA,NA,-1.30667590437536,0,0
NA,NA,-0.768395325077939,0,0
NA,NA,-0.527108125374458,0,0
NA,NA,-0.0214270650416246,0,0
NA,NA,0.670498070996282,0,0
NA,1,-0.434617038572407,1,1
NA,NA,-1.11387978331285,0,0
NA,NA,0.6071059948785,0,0
2.144033681903,0,0.275456968739591,1,0
NA,NA,1.15734706941474,0,0
NA,NA,-1.68248085947826,0,0
NA,NA,0.0873190888948744,0,0
NA,NA,1.35336189394267,0,0
NA,NA,0.724173800683369,0,0
NA,NA,-0.832552825764212,0,0
NA,NA,0.732528486768414,0,0
NA,NA,-0.871926869997213,0,0
NA,NA,-0.453397511229793,0,0
NA,NA,1.18753427862908,0,0
NA,NA,-0.290145311790079,0,0
NA,0,0.828546144965436,1,1
4.87244717193574,1,-0.291227708779169,1,0
NA,NA,-1.57636240474791,0,0
NA,NA,-0.848815696948922,0,0
NA,NA,-1.08851986195719,0,0
NA,NA,-0.484290571117173,0,0
NA,NA,-0.336311209009573,0,0
4.06358345194635,1,-0.153357890661644,1,0
NA,NA,-0.243247228574846,0,0
11.4879347808954,1,1.89220204160011,1,0
NA,NA,-1.38599833728542,0,0
NA,1,-0.41482430070778,1,1
NA,NA,0.349081528106831,0,0
3.56442832358661,0,1.62844226581541,1,0
NA,1,0.0885218957136163,1,1
NA,NA,1.23915070840056,0,0
NA,NA,-1.64455553575371,0,0
NA,1,1.44635652537848,1,1
NA,NA,-0.690560171665183,0,0
3.36935873033904,1,-0.276431085453852,1,0
NA,NA,-1.10941875989944,0,0
NA,1,0.133869316429452,1,1
NA,0,1.78533905173155,1,1
11.4800040010636,1,2.42216335525159,1,0
NA,NA,-1.07682890211841,0,0
3.16827007853007,0,0.485941110403099,1,0
NA,1,1.38852173874429,1,1
NA,NA,-0.195656817284544,0,0
NA,NA,-0.218174797706211,0,0
1.83580564015305,0,-0.304777954546445,1,0
7.84416178531655,1,0.597832724111443,1,0
NA,1,1.39742941081576,1,1
NA,NA,0.687619761239963,0,0
2.61866179632646,0,0.320188014296969,1,0
0.22175387820238,0,-0.301869925777261,1,0
5.28172912859717,1,0.49834868555795,1,0
1.13891424404009,0,-0.549536917916756,1,0
NA,NA,-0.279256503637243,0,0
7.4825757560501,1,1.09651344311173,1,0
6.55182264505084,1,0.442013088178811,1,0
NA,1,0.241016294026112,1,1
2.01674345411849,0,-0.255607655355518,1,0
5.91474149587441,1,0.931032901484882,1,0
4.14136991452907,0,1.33491258537547,1,0
NA,NA,-0.869271763875442,0,0
5.27819357034071,1,0.0554869546651026,1,0
NA,NA,0.0490669131919192,0,0
0.0835958736469762,0,-0.578355728360897,1,0
NA,NA,-0.998738655996004,0,0
NA,NA,-0.00243278000660164,0,0
NA,1,0.655511882812969,1,1
NA,NA,1.47684227897655,0,0
NA,NA,-1.90915278827921,0,0
NA,NA,-0.702439473312409,0,0
NA,NA,-0.311430218011919,0,0
NA,NA,-1.66315703066738,0,0
0.595057205326352,0,-0.75053344179229,1,0
-0.387625359090664,0,-0.777351759181508,1,0
NA,NA,-0.722569699859602,0,0
NA,NA,-2.18883459914707,0,0
NA,NA,0.213418550286554,0,0
4.52330121533663,1,-0.631922936254832,1,0
8.88622356852872,1,1.52049119383216,1,0
NA,0,0.795955949415082,1,1
NA,NA,-1.4535295651328,0,0
NA,NA,0.0983954210058388,0,0
2.42306300155291,1,-0.593770984233153,1,0
5.19642125790708,1,0.888281168634515,1,0
NA,1,0.0530704154986666,1,1
NA,NA,-0.557023625844656,0,0
NA,NA,0.43839703617272,0,0
NA,NA,0.152608158642419,0,0
NA,NA,-0.164617581749564,0,0
NA,1,2.01989062147597,1,1
-0.0921607845769223,0,-0.529385886317261,1,0
NA,NA,-0.470786972984042,0,0
NA,NA,-1.54593692401752,0,0
NA,NA,-0.0405267232951771,0,0
NA,NA,0.890356305470676,0,0
NA,NA,-2.07138785092921,0,0
1.82710933392155,0,-0.250065120073019,1,0
NA,NA,-1.18165042665332,0,0
8.45138842854264,1,1.44193726501691,1,0
3.78896921244257,0,1.35789553887886,1,0
2.29100499041862,0,0.33450284734065,1,0
NA,1,1.42933808040023,1,1
3.05341282704037,1,-0.867317850878684,1,0
4.23874356125944,1,0.950651724971886,1,0
NA,NA,-0.585011508633235,0,0
5.99555965920703,1,0.320957522525629,1,0
NA,1,-0.299396016664908,1,1
NA,NA,-0.278543083293069,0,0
NA,NA,0.546115158329532,0,0
NA,NA,-1.30382115364487,0,0
NA,NA,-0.25091446504246,0,0
NA,NA,0.17100737371791,0,0
NA,NA,-0.403467478747509,0,0
NA,NA,0.104659440835727,0,0
5.27679059956916,1,-0.318880786734009,1,0
8.29354892940085,1,1.61834393588343,1,0
4.04881802817719,0,0.714188601488617,1,0
13.1643086754023,1,2.96586536983324,1,0
NA,NA,-0.795077604559211,0,0
NA,NA,0.814365914679913,0,0
2.86223704195007,0,2.09803081013037,1,0
NA,0,0.30098005515257,1,1
-0.0808575429814865,0,-1.08307514183923,1,0
NA,NA,-1.00632250180328,0,0
NA,NA,-0.035414564917612,0,0
7.71849681803338,1,1.30912436085341,1,0
NA,NA,0.750400486646719,0,0
NA,NA,-2.13836832761242,0,0
3.54733357955211,1,-0.700354108866634,1,0
NA,NA,-0.00905647529298544,0,0
NA,NA,-1.45813348724477,0,0
NA,NA,0.694529646494869,0,0
NA,NA,-2.46133547518649,0,0
3.49920913717498,0,0.143289764040456,1,0
NA,NA,-0.391222119127056,0,0
NA,0,-0.491164085614076,1,1
4.45927318556539,1,-0.283647452452051,1,0
NA,1,0.314794804707843,1,1
NA,NA,0.396326577938989,0,0
NA,NA,-0.22560371103596,0,0
NA,NA,-1.92495043034056,0,0
NA,NA,-1.43922929832198,0,0
NA,NA,-1.4696577739724,0,0
6.27846446476135,1,0.761863446891932,1,0
NA,NA,-0.24361498187128,0,0
NA,NA,0.269676607418008,0,0
NA,NA,-1.55892752095582,0,0
0.643698695194716,0,-0.535588006696314,1,0
NA,NA,0.562451973173495,0,0
-1.49941725671589,0,-0.178326123419918,1,0
4.84786995202112,1,-0.115135986202651,1,0
NA,NA,-0.0720614721063666,0,0
4.14056980187148,0,1.2109098069263,1,0
NA,NA,-0.614896900799703,0,0
NA,NA,0.6761264583147,0,0
7.92318073749969,1,0.898599605537552,1,0
NA,NA,-1.18931790352102,0,0
5.77855068042837,1,0.121258849819009,1,0
NA,NA,-0.0112216861304115,0,0
4.46291180528468,0,1.02914071931376,1,0
NA,1,0.914774867719613,1,1
NA,NA,-0.00245626667956324,0,0
NA,NA,0.136009552413727,0,0
2.1564308699433,0,-0.720153544943125,1,0
NA,NA,-0.198124330051216,0,0
NA,NA,-1.02920880604827,0,0
1.82022974005349,1,-0.966955895852616,1,0
NA,NA,-1.22081308891909,0,0
NA,1,0.836207703944837,1,1
NA,NA,1.1149717984954,0,0
NA,NA,-0.412944852927091,0,0
NA,NA,-1.12897739800683,0,0
5.83974077462403,1,-0.0879313317770513,1,0
9.97296001333592,1,2.24190369331262,1,0
NA,1,2.04131317075049,1,1
NA,NA,-1.71980033672145,0,0
NA,NA,-0.356906656122387,0,0
NA,NA,1.53328049216229,0,0
NA,NA,-0.0382440966102368,0,0
NA,1,1.59741324232642,1,1
NA,NA,-0.333585393309883,0,0
4.67249924383677,0,0.604985923915378,1,0
2.26025211570514,0,0.224241239250251,1,0
NA,0,3.22906949548006,1,1
NA,NA,0.92045256677252,0,0
NA,NA,-1.20653906921592,0,0
NA,NA,-0.603881169163268,0,0
NA,NA,0.370235284622063,0,0
NA,NA,-1.90100064667961,0,0
NA,NA,-1.80440994496324,0,0
NA,NA,-1.12182260635522,0,0
NA,1,-0.34792960655914,1,1
7.36816337898202,1,1.23890214863198,1,0
NA,NA,-0.274197564852279,0,0
NA,NA,0.162380715558193,0,0
NA,NA,-0.0646069097530627,0,0
NA,NA,-0.705237097025143,0,0
NA,1,1.36219726875099,1,1
NA,NA,-1.09651318808332,0,0
NA,NA,-0.228433518546891,0,0
NA,NA,-0.347828080610269,0,0
NA,NA,0.532128619506733,0,0
NA,0,1.60723456226119,1,1
8.01276057410106,1,0.513814526116594,1,0
NA,NA,1.38237316057303,0,0
6.4934183246235,1,0.763097048549903,1,0
NA,NA,-0.624584544634111,0,0
5.29695311353729,1,0.0815438004289869,1,0
8.4986901227452,1,1.37607911136477,1,0
NA,NA,-1.56126578615704,0,0
5.5617989442146,1,0.324770660594699,1,0
NA,0,-0.156790316952238,1,1
7.68639442204879,1,0.877783860734352,1,0
NA,1,0.750166575180638,1,1
4.92878666835397,1,0.30105340384283,1,0
NA,0,1.49281111722931,1,1
NA,NA,-1.5254938001697,0,0
3.05637005079468,0,0.910717558486022,1,0
NA,NA,-1.57953202785754,0,0
NA,1,0.587716257118582,1,1
NA,NA,0.0896422960007244,0,0
NA,NA,0.96726165694984,0,0
NA,NA,0.0788123529148234,0,0
NA,NA,-1.56869983648609,0,0
NA,NA,-2.00782318401609,0,0
NA,NA,0.540973524238763,0,0
3.65862179279497,1,-0.0733765981084255,1,0
NA,NA,-0.571018393558081,0,0
NA,NA,-0.311068459853641,0,0
NA,NA,-0.671415067101365,0,0
NA,NA,-0.157340452080979,0,0
NA,NA,-0.93130507099987,0,0
NA,NA,-1.98300947947013,0,0
NA,NA,-0.219599804249378,0,0
NA,1,1.04527586946239,1,1
NA,NA,1.87732956629967,0,0
NA,NA,0.00260619595716637,0,0
NA,NA,-0.0806699347091655,0,0
NA,1,0.96298228123987,1,1
0.0654724690626889,0,0.0535710165465174,1,0
NA,NA,-0.434898408910037,0,0
-0.123052448390262,0,-1.73729725534231,1,0
-0.587046730335155,0,-1.26369559978243,1,0
NA,1,0.406308512069273,1,1
NA,NA,-1.45965396777976,0,0
2.05652462061042,0,1.0484573701547,1,0
NA,NA,-1.3464305394502,0,0
NA,1,-0.193570558113494,1,1
NA,NA,-0.00233595711367605,0,0
NA,NA,-0.0128297338671881,0,0
NA,NA,0.151947321984398,0,0
NA,NA,0.598511131401079,0,0
NA,NA,-0.126212437298279,0,0
0.297762622074652,0,-0.248535565846776,1,0
NA,NA,0.160327394904622,0,0
NA,NA,-0.433641941597269,0,0
NA,NA,1.53741241910027,0,0
NA,NA,-2.17024657661608,0,0
NA,NA,1.02700461929143,0,0
NA,NA,-0.248482933189933,0,0
4.4391066719357,1,0.422320385832393,1,0
NA,NA,0.987653293639674,0,0
6.61040830732816,1,0.835568172035023,1,0
NA,NA,-0.660521859045705,0,0
NA,1,1.56406949329184,1,1
0.411848977738831,0,-1.62297593529155,1,0
NA,NA,0.863896373478988,0,0
1.82422701390251,0,-0.5116027734362,1,0
NA,NA,-1.9173650254454,0,0
NA,NA,-1.86581384861995,0,0
NA,NA,0.245179063439689,0,0
NA,1,2.22353430190807,1,1
NA,1,0.273376064144465,1,1
8.33598657293953,1,1.13078479452828,1,0
NA,NA,0.838669374060099,0,0
NA,NA,-0.654615277878205,0,0
NA,NA,0.953960978479396,0,0
NA,1,0.352951465489323,1,1
NA,0,0.206599292649613,1,1
6.26324466533881,1,1.00111323431025,1,0
NA,NA,0.747451991640276,0,0
-0.0382810755490512,0,-0.626574836723139,1,0
NA,NA,0.395223685936714,0,0
NA,NA,-0.892167954045578,0,0
NA,NA,0.630818410091773,0,0
NA,NA,-0.432705183284567,0,0
NA,NA,0.452138644218517,0,0
1.55654494050083,0,0.367999045196345,1,0
NA,NA,-0.270387489661909,0,0
NA,NA,0.465512617712979,0,0
3.32113229641391,0,0.574356225626969,1,0
4.38541837679885,1,-0.230699990157411,1,0
NA,0,1.17224250830245,1,1
NA,NA,1.39270270673312,0,0
2.9791230209625,1,-0.661991255709585,1,0
NA,NA,-0.777369206725014,0,0
NA,1,0.51353857890878,1,1
NA,NA,-0.913312238041272,0,0
NA,NA,-0.449423805250301,0,0
NA,1,0.802932699103618,1,1
NA,NA,-0.573476850981104,0,0
NA,NA,-1.92812516784833,0,0
NA,NA,0.664390833822148,0,0
NA,NA,-1.60254022379425,0,0
NA,NA,-1.35460025745385,0,0
NA,NA,-3.0179326794179,0,0
NA,NA,0.831237822230063,0,0
NA,NA,0.251097088847344,0,0
4.49270934332599,1,0.46229346594133,1,0
3.92611448743549,0,0.844792223223237,1,0
NA,NA,-0.0419715243215621,0,0
-0.523775143107011,0,-1.10557590570003,1,0
6.40927381711913,1,0.563775652330874,1,0
NA,NA,1.30336475581967,0,0
NA,NA,-1.50022093779466,0,0
NA,1,-0.606989235119036,1,1
NA,NA,-0.292245065656577,0,0
NA,NA,-1.2896833433236,0,0
NA,NA,0.694105848774699,0,0
NA,0,-0.599181902897119,1,1
NA,1,1.25690664397164,1,1
NA,NA,0.053508013627363,0,0
NA,NA,0.728092517671852,0,0
7.90368926850715,1,1.56109806821061,1,0
NA,1,0.26562475359719,1,1
5.15326950233794,1,1.07672625920727,1,0
NA,NA,0.210697931679245,0,0
1.52641336862243,0,-1.51167352582237,1,0
3.82062385474607,0,0.022402259913625,1,0
NA,NA,0.718136206042103,0,0
6.41402210335151,1,0.48945701784227,1,0
NA,NA,-0.17388834587827,0,0
NA,NA,-1.2176994886684,0,0
NA,NA,0.646398368709462,0,0
NA,NA,-0.91645602834789,0,0
NA,NA,-1.25182344242557,0,0
NA,NA,0.594927718405501,0,0
NA,NA,-1.23281066518983,0,0
NA,NA,0.244364414906138,0,0
NA,NA,0.00277218534359506,0,0
NA,NA,-1.32820968602556,0,0
NA,0,1.17969641183278,1,1
3.60160524998851,1,-0.592804999148929,1,0
8.11973490127138,1,1.19997831633667,1,0
NA,NA,-0.475033679612135,0,0
NA,NA,-0.575057096150816,0,0
NA,NA,-0.031226024608499,0,0
4.14841625899747,1,-0.358056995978456,1,0
NA,NA,-0.356601077647731,0,0
NA,NA,-0.877664383433726,0,0
2.79840423604019,1,-1.21289712517796,1,0
6.96025652607479,1,0.613286618687034,1,0
NA,NA,-0.806203341462477,0,0
NA,NA,-1.3764569299089,0,0
NA,NA,-0.507847899163547,0,0
NA,NA,-0.800935486737338,0,0
NA,NA,-2.19278568567007,0,0
NA,NA,-0.290937149267675,0,0
NA,NA,0.167174121160518,0,0
NA,NA,0.294692356485688,0,0
NA,NA,0.392741265420726,0,0
NA,NA,-1.00084371300082,0,0
NA,NA,-0.325727119823434,0,0
0.569775900108818,0,-1.00834880542884,1,0
NA,NA,-0.635431482033766,0,0
NA,NA,-1.20984068798734,0,0
NA,NA,-1.11646380065269,0,0
2.76235648066479,0,0.629881162575935,1,0
NA,1,-0.272521570178626,1,1
NA,NA,-0.258841168378671,0,0
NA,NA,1.72955817989149,0,0
NA,NA,-0.0583921654073716,0,0
NA,NA,-0.537063784608919,0,0
